id|geometry:1|length
segment.8a1e7689c56ffff-179FD7631FE1ADA1|LINESTRING (24.0037064 49.8283331, 24.00366 49.8282989, 24.0034259 49.8281265, 24.0032559 49.8282127)|46,05
segment.891e768900fffff-17FCF42EB4E73A3F|LINESTRING (23.9421895 49.8299887, 23.9426512 49.8294032, 23.9427012 49.8293478, 23.9427938 49.8293469, 23.9429359 49.8293478, 23.9433771 49.8293512, 23.9438559 49.8295035, 23.9438747 49.8295762, 23.943813 49.82993, 23.9437915 49.8300321, 23.9438908 49.8300866, 23.9439216 49.8301385, 23.9438935 49.8301826)|247,02
segment.8a1e761362effff-179BB00CFBC17EA6|LINESTRING (24.0198238 49.7532358, 24.0200734 49.7530733, 24.0202558 49.7526262, 24.0203497 49.7523489)|108,43
segment.8a1e768b25a7fff-1798F7D1522DDE7D|LINESTRING (23.8922154 49.8650139, 23.892288 49.8651647)|17,56
segment.871e76c6cffffff-17B8F6474A37B17C|LINESTRING (23.9433803 49.7970414, 23.9447196 49.7959979)|150,68
segment.8b1e7689cb6cfff-17D9F858722376F4|LINESTRING (24.0235675 49.8381412, 24.0235172 49.8381793, 24.0235557 49.8382013)|9,25
segment.881e761305fffff-17DBE8465189B306|LINESTRING (24.0280429 49.7509921, 24.0315087 49.7516173, 24.0315709 49.7516105, 24.0316419 49.7515906, 24.0316874 49.7515575, 24.0318771 49.7511833)|317,32
segment.881e76d499fffff-179D7E98D2DDBE6B|LINESTRING (23.8896185 49.8626601, 23.888426 49.8624249, 23.8873377 49.8621534)|173,03
segment.891e768928fffff-17DAFCF1C231437C|LINESTRING (23.92012 49.819521, 23.9207238 49.8196078, 23.9208616 49.8192454)|85,87
segment.891e768915bffff-17BDFA4E6AE19D93|LINESTRING (23.9588648 49.8254556, 23.9588568 49.8254046, 23.9588485 49.8253654, 23.9587442 49.8249452)|57,42
segment.8e1e76891180d8f-17FF33F989924523|LINESTRING (23.9693187 49.8310309, 23.9693228 49.8310206)|1,18
segment.891e7613497ffff-17BFF7913DB9C026|LINESTRING (24.023332 49.7860896, 24.0231101 49.7852346)|96,40
segment.891e768952bffff-179DBE03D407756D|LINESTRING (23.9671437 49.8425696, 23.9671591 49.8426278, 23.9671301 49.8426789, 23.9669192 49.843496, 23.966714 49.8441485, 23.9667022 49.8441861, 23.9666378 49.8442629, 23.9665724 49.8445017, 23.966597 49.8445078, 23.9666253 49.8445151)|223,77
segment.8c1e768984349ff-179FFE4C20CC0598|LINESTRING (24.0127999 49.8073399, 24.0128685 49.8073339, 24.0129412 49.8073265)|10,25
segment.871e7689effffff-17BD6135BC123DB7|LINESTRING (23.989246 49.8114955, 23.989217 49.8113807, 23.9892107 49.8113558, 23.989182 49.8112389, 23.9890183 49.8105711, 23.9889985 49.8104984, 23.9889737 49.810393, 23.9889564 49.8103471, 23.98892 49.8102897, 23.9886473 49.8098817, 23.9883356 49.8095312, 23.988118 49.8092837, 23.9880795 49.8092399, 23.9875809 49.8086439, 23.9875319 49.808576, 23.9873931 49.8082953, 23.9872538 49.807883, 23.9869594 49.8067082, 23.9869302 49.8065918, 23.9869017 49.806478, 23.9866708 49.8056115)|687,23
segment.8b1e7689c85bfff-17DBDDF037C9DC28|LINESTRING (24.0126955 49.8358744, 24.0127255 49.8359173, 24.0127588 49.8359319)|8,12
segment.8b1e76880090fff-17DDB1EAE8A3499D|LINESTRING (24.0075837 49.8625604, 24.0080158 49.8624594)|32,95
segment.881e768983fffff-17BBE40FD72945F3|LINESTRING (24.0416102 49.8106118, 24.0414937 49.8103681, 24.041499 49.8103495, 24.0414709 49.8103023, 24.0414374 49.8102941, 24.0413851 49.8102019, 24.0414025 49.8101586, 24.041039 49.8094221, 24.0410364 49.8093814, 24.0410484 49.8093512, 24.0410779 49.8093287, 24.0411423 49.809307, 24.0421358 49.8091106, 24.0421783 49.8091032)|234,70
segment.8b1e768904aafff-17DCEE9BA242F843|LINESTRING (23.9277797 49.8248942, 23.9278223 49.8248101)|9,84
segment.881e7689c7fffff-17BBCF4AE9EC6F4B|LINESTRING (24.0071491 49.8235681, 24.0070138 49.8235986, 24.006963 49.8236134, 24.0069393 49.8236192, 24.0064318 49.8237573, 24.0064077 49.8237988, 24.006393 49.8238707, 24.0064231 49.8240395, 24.0065194 49.8244492, 24.0066211 49.8247002, 24.006902 49.8250902, 24.0069447 49.8251513, 24.0072064 49.8255253)|263,32
segment.881e76c683fffff-17F9B5938B015B74|LINESTRING (23.9694228 49.7718075, 23.9699652 49.7718001, 23.9705209 49.7719525)|82,32
segment.881e7689e3fffff-17FBF71569E35E00|LINESTRING (24.0035318 49.8111063, 24.0031926 49.8107927)|42,52
segment.871e7612effffff-17DF13A1491004AC|LINESTRING (24.1593615 49.7642117, 24.1595632 49.7644806, 24.1596524 49.7647009, 24.1596866 49.7649813, 24.1596612 49.7652111, 24.15959 49.765527, 24.1594875 49.7658468, 24.1594224 49.7659852, 24.1593231 49.766123, 24.1591808 49.7662154, 24.158695 49.7664596, 24.1587283 49.7665997, 24.1588444 49.7668315, 24.1589418 49.7670736, 24.1589718 49.7673556, 24.1589291 49.7674698, 24.1589248 49.7675209, 24.1589148 49.767641, 24.1589988 49.7677742, 24.1591315 49.767877)|444,04
segment.8a1e76891947fff-17FF61AD59B91C58|LINESTRING (23.9749951 49.8414029, 23.9750209 49.8410565, 23.9750209 49.8410158, 23.9749789 49.8409887, 23.9748761 49.8409782, 23.9746736 49.8409578)|69,51
segment.861e7689fffffff-17BFE59C773F0694|LINESTRING (23.9895178 49.8000231, 23.9896878 49.80001, 23.9897859 49.8000006)|19,41
segment.8b1e768984f3fff-17DDB55574C1564F|LINESTRING (24.0159095 49.8038275, 24.0158233 49.8037834, 24.0156007 49.8036304)|31,23
segment.8a1e76892537fff-17989BC2644F7753|LINESTRING (23.9061819 49.8124162, 23.9064163 49.8124278, 23.9066523 49.8124416, 23.9071669 49.8124704, 23.9074898 49.8124738, 23.9077654 49.8124767)|113,88
segment.8c1e768817b15ff-17BDE65B38758F89|LINESTRING (24.0424449 49.8573324, 24.0423269 49.8573444)|8,56
segment.8b1e76891932fff-17BBB1C9E8C7EDB9|LINESTRING (23.9684674 49.8413891, 23.9683834 49.8413868)|6,03
segment.8b1e76880a52fff-179BBC4FE3586140|LINESTRING (24.0252167 49.8694113, 24.0251125 49.8693743)|8,53
segment.8a1e761347affff-1799B29B71896446|LINESTRING (24.0210531 49.7684137, 24.0211832 49.7684113, 24.021326 49.7684087)|19,61
